group,metric,value
exclusive_group_3_review_pool_noncorestrict,llm6_model_used=gpt-5.4-mini,32544
exclusive_group_3_review_pool_noncorestrict,llm6_model_used=gpt-5.5,401
exclusive_group_3_review_pool_noncorestrict,llm6_has_clear_main_protagonist=yes,14723
exclusive_group_3_review_pool_noncorestrict,llm6_has_clear_main_protagonist=uncertain,9547
exclusive_group_3_review_pool_noncorestrict,llm6_has_clear_main_protagonist=no,8675
exclusive_group_3_review_pool_noncorestrict,llm6_suggested_include_in_final_corpus=no,11775
exclusive_group_3_review_pool_noncorestrict,llm6_suggested_include_in_final_corpus=maybe,10945
exclusive_group_3_review_pool_noncorestrict,llm6_suggested_include_in_final_corpus=yes,10225
exclusive_group_3_review_pool_noncorestrict,shadow_load_category=none,27658
exclusive_group_3_review_pool_noncorestrict,shadow_load_category=low,3738
exclusive_group_3_review_pool_noncorestrict,shadow_load_category=medium,1394
exclusive_group_3_review_pool_noncorestrict,shadow_load_category=high,155
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=45001-50000,4474
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=40001-45000,4349
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=35001-40000,4110
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=30001-35000,3927
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=25001-30000,3714
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=20001-25000,3302
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=15001-20000,2715
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=10001-15000,2537
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=5001-10000,2020
exclusive_group_3_review_pool_noncorestrict,rank_bin_5000=1-5000,1797
