original_release_year,example_no,igdb_id,name,game_type,genres,themes,game_modes,platforms,thematic_fit_score,visibility_count_score,broad_candidate_for_archetype_annotation
1983,8,2710,Mappy,Main Game,Platform | Puzzle | Strategy,Action,Multiplayer | Single player,Arcade | FM-7 | MSX | NEC PC-6000 Series | PC-8800 Series | Sega Game Gear | Sharp X1 | Wii | Wii U | iOS,4.0,111.0,True
1983,9,5539,Archon,Main Game,Strategy | Tactical,Action | Fantasy,Multiplayer | Single player,Amiga | Amstrad CPC | Apple II | Atari 8-bit | Commodore C64/128/MAX | DOS | FM-7 | Mac | PC (Microsoft Windows) | PC-8800 Series | Sharp X1 | ZX Spectrum,2.0,90.0,True
1983,10,12308,Gyruss,Main Game,Arcade | Shooter,Action | Science fiction,Multiplayer | Single player,Arcade | Xbox 360,5.5,74.0,True
1983,11,7580,Baseball,Main Game,Sport,Action,Co-operative | Multiplayer | Single player,Arcade | Family Computer | Family Computer Disk System | Nintendo Entertainment System | Wii | Wii U,2.0,72.0,True
1983,12,12858,Star Wars,Main Game,Arcade | Shooter,Action | Science fiction,Single player,Acorn Electron | Amiga | Amstrad CPC | Arcade | Atari 2600 | Atari 5200 | Atari 8-bit | Atari ST/STE | BBC Microcomputer System | ColecoVision | Commodore C64/128/MAX | DOS | Mac | ZX Spectrum,5.5,67.0,True
1983,13,5454,Space Ace,Main Game,Adventure | Arcade | Shooter,Action | Science fiction,Single player,3DO Interactive Multiplayer | Amiga | Apple II | Apple IIGS | Arcade | Atari Jaguar | Atari Jaguar CD | Atari ST/STE | DOS | Mac | Nintendo DSi | Philips CD-i | PlayStation 3 | Sega CD | Super Nintendo Entertainment System,5.5,66.0,True
1983,14,2867,Ultima III: Exodus,Main Game,Role-playing (RPG),Fantasy,Single player,Amiga | Apple II | Atari 8-bit | Atari ST/STE | Commodore C64/128/MAX | DOS | FM-7 | MSX | Mac | Nintendo Entertainment System | PC-8800 Series | PC-9800 Series | Sharp X1,5.5,66.0,True
1983,15,23860,Alley Cat,Main Game,Arcade | Platform,Action,Single player,Atari 8-bit | DOS | PC-8800 Series,5.5,63.0,True
1984,1,2741,Duck Hunt,Main Game,Arcade | Shooter,Action | Comedy,Multiplayer | Single player,Arcade | Family Computer | Nintendo Entertainment System | Wii U,5.5,714.0,True
1984,2,4600,Excitebike,Main Game,Arcade | Racing | Sport,Action | Non-fiction,Multiplayer | Single player,Arcade | Family Computer | Nintendo Entertainment System | Wii | Wii U,4.0,534.0,True
1984,3,11762,Paperboy,Main Game,Arcade | Racing | Simulator,Action | Comedy,Single player,Acorn Electron | Amiga | Amstrad CPC | Apple II | Apple IIGS | Arcade | Atari ST/STE | BBC Microcomputer System | Commodore 16 | Commodore C64/128/MAX | Commodore Plus/4 | DOS | Legacy Mobile Device | Xbox 360 | ZX Spectrum | iOS,4.0,302.0,True
1984,4,6075,1942,Main Game,Arcade | Shooter,Action | Warfare,Co-operative | Single player,Amstrad CPC | Arcade | Commodore C64/128/MAX | FM-7 | MSX | MSX2 | PC-8800 Series | PlayStation 3 | Sharp X1 | Wii | ZX Spectrum,5.5,292.0,True
1984,5,2246,Marble Madness,Main Game,Arcade | Puzzle,Action,Multiplayer | Single player,Arcade | FM Towns | PC-9800 Series | Sega Mega Drive/Genesis | Sharp X68000,5.5,219.0,True
1984,6,25692,Circus Charlie,Main Game,Arcade | Platform,Action,Multiplayer | Single player,Arcade | Commodore C64/128/MAX | Family Computer | MSX | Nintendo Entertainment System,5.5,180.0,True
1984,7,4607,Road Fighter,Main Game,Arcade | Racing,Action,Multiplayer | Single player,Arcade | Family Computer | MSX | Nintendo Entertainment System | SG-1000 | Wii,4.0,159.0,True
1984,8,2901,Spartan X,Main Game,Hack and slash/Beat 'em up,Action,Multiplayer | Single player,Arcade,5.5,153.0,True
1984,9,18170,Yie Ar Kung-Fu,Main Game,Arcade | Fighting,Action,Multiplayer | Single player,Amstrad CPC | Arcade | BBC Microcomputer System | Commodore 16 | Commodore C64/128/MAX | Family Computer | MSX | Wii | Wii U | Xbox 360 | ZX Spectrum,5.5,133.0,True
1984,10,6054,Ghostbusters,Main Game,Arcade,Fantasy | Science fiction,Single player,Amstrad CPC | Apple II | Atari 2600 | Atari 8-bit | Commodore C64/128/MAX | DOS | MSX | Sega Master System/Mark III | ZX Spectrum,5.5,121.0,True
1984,11,4601,Hogan's Alley,Main Game,Arcade | Shooter,Action,Multiplayer | Single player,Arcade | Family Computer | Nintendo Entertainment System | Wii U,5.5,114.0,True
1984,12,74548,Tennis,Main Game,Sport,Non-fiction,Co-operative | Multiplayer | Single player,Arcade | Family Computer | Family Computer Disk System | Nintendo Entertainment System | PC-8800 Series | Sharp X1 | Wii | Wii U,1.0,114.0,True
1984,13,892,King's Quest: Quest for the Crown,Main Game,Adventure | Puzzle,Fantasy,Single player,Amiga | Apple II | Apple IIGS | Atari ST/STE | DOS | Mac | PC (Microsoft Windows) | Sega Master System/Mark III,5.5,111.0,True
1984,14,4625,Wild Gunman,Main Game,Arcade | Shooter,Action,Single player,Arcade | Family Computer | Nintendo Entertainment System | Wii U,4.5,106.0,True
1984,15,12942,Boulder Dash,Main Game,Arcade | Platform | Puzzle,Action,Single player,Atari 8-bit,5.5,105.0,True
1985,1,358,Super Mario Bros.,Main Game,Adventure | Platform,Action,Multiplayer | Single player,Arcade | Family Computer | Family Computer Disk System | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,3909.0,True
1985,2,6807,Ghosts 'n Goblins,Main Game,Adventure | Arcade | Platform | Shooter,Action | Fantasy,Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | ZX Spectrum,5.5,319.0,True
