population,scheme,period_start,period_label,archetype,share_pct
all_rows_missing_visibility_equal,equal,1975,1975–1979,Everyman/Orphan,6.12003147984685
all_rows_missing_visibility_equal,equal,1975,1975–1979,Explorer/Seeker,24.730944041602168
all_rows_missing_visibility_equal,equal,1975,1975–1979,Hero/Warrior,41.90867922469216
all_rows_missing_visibility_equal,equal,1975,1975–1979,Innocent,3.274110965728599
all_rows_missing_visibility_equal,equal,1975,1975–1979,Lover,1.3662653894615395
all_rows_missing_visibility_equal,equal,1975,1975–1979,Magician/Transformer,4.075812378644834
all_rows_missing_visibility_equal,equal,1975,1975–1979,Rebel/Outlaw,3.3237922384265715
all_rows_missing_visibility_equal,equal,1975,1975–1979,Ruler/Leader,4.403971171403826
all_rows_missing_visibility_equal,equal,1975,1975–1979,Sage/Investigator,6.219508170799365
all_rows_missing_visibility_equal,equal,1980,1980–1984,Caregiver/Guardian,3.642651932867912
all_rows_missing_visibility_equal,equal,1980,1980–1984,Creator/Artist,4.133574189302995
all_rows_missing_visibility_equal,equal,1980,1980–1984,Everyman/Orphan,5.551434604125181
all_rows_missing_visibility_equal,equal,1980,1980–1984,Explorer/Seeker,21.69984570569853
all_rows_missing_visibility_equal,equal,1980,1980–1984,Hero/Warrior,40.246716473373034
all_rows_missing_visibility_equal,equal,1980,1980–1984,Innocent,0.6411722451521108
all_rows_missing_visibility_equal,equal,1980,1980–1984,Jester/Trickster,0.39225832762879026
all_rows_missing_visibility_equal,equal,1980,1980–1984,Lover,0.5467685175020611
all_rows_missing_visibility_equal,equal,1980,1980–1984,Magician/Transformer,6.792622496111363
all_rows_missing_visibility_equal,equal,1980,1980–1984,Rebel/Outlaw,1.5438319999718746
all_rows_missing_visibility_equal,equal,1980,1980–1984,Ruler/Leader,5.119562898153115
all_rows_missing_visibility_equal,equal,1980,1980–1984,Sage/Investigator,9.768012275638805
all_rows_missing_visibility_equal,equal,1985,1985–1989,Caregiver/Guardian,3.3918923032770336
all_rows_missing_visibility_equal,equal,1985,1985–1989,Creator/Artist,3.353117045798301
all_rows_missing_visibility_equal,equal,1985,1985–1989,Everyman/Orphan,4.865508439269769
all_rows_missing_visibility_equal,equal,1985,1985–1989,Explorer/Seeker,24.88949890620318
all_rows_missing_visibility_equal,equal,1985,1985–1989,Hero/Warrior,36.84891137630566
all_rows_missing_visibility_equal,equal,1985,1985–1989,Innocent,0.7632630975178907
all_rows_missing_visibility_equal,equal,1985,1985–1989,Jester/Trickster,1.142759801328393
all_rows_missing_visibility_equal,equal,1985,1985–1989,Lover,1.6681676107488883
all_rows_missing_visibility_equal,equal,1985,1985–1989,Magician/Transformer,6.616135101474418
all_rows_missing_visibility_equal,equal,1985,1985–1989,Rebel/Outlaw,1.8600853010136542
all_rows_missing_visibility_equal,equal,1985,1985–1989,Ruler/Leader,5.569838213936817
all_rows_missing_visibility_equal,equal,1985,1985–1989,Sage/Investigator,9.000566530231016
all_rows_missing_visibility_equal,equal,1990,1990–1994,Caregiver/Guardian,3.5894206891102214
all_rows_missing_visibility_equal,equal,1990,1990–1994,Creator/Artist,3.3903142988640456
all_rows_missing_visibility_equal,equal,1990,1990–1994,Everyman/Orphan,4.760522931458916
all_rows_missing_visibility_equal,equal,1990,1990–1994,Explorer/Seeker,24.183354358198233
all_rows_missing_visibility_equal,equal,1990,1990–1994,Hero/Warrior,36.259887128586215
all_rows_missing_visibility_equal,equal,1990,1990–1994,Innocent,1.5356009953076895
all_rows_missing_visibility_equal,equal,1990,1990–1994,Jester/Trickster,2.1106374091911384
all_rows_missing_visibility_equal,equal,1990,1990–1994,Lover,1.73403230866559
all_rows_missing_visibility_equal,equal,1990,1990–1994,Magician/Transformer,7.511571905882393
all_rows_missing_visibility_equal,equal,1990,1990–1994,Rebel/Outlaw,1.639469845864824
all_rows_missing_visibility_equal,equal,1990,1990–1994,Ruler/Leader,5.760378682894201
