population,scheme,decade,archetype,share_pct
all_rows_missing_visibility_equal,equal,2010s,Everyman/Orphan,8.49251686826161
all_rows_missing_visibility_equal,equal,2010s,Explorer/Seeker,26.96710867636209
all_rows_missing_visibility_equal,equal,2010s,Hero/Warrior,23.488733248847478
all_rows_missing_visibility_equal,equal,2010s,Innocent,1.763581696552286
all_rows_missing_visibility_equal,equal,2010s,Jester/Trickster,3.42725327800595
all_rows_missing_visibility_equal,equal,2010s,Lover,4.3094738724113695
all_rows_missing_visibility_equal,equal,2010s,Magician/Transformer,5.445072212323149
all_rows_missing_visibility_equal,equal,2010s,Rebel/Outlaw,4.25523686984405
all_rows_missing_visibility_equal,equal,2010s,Ruler/Leader,4.899686826068164
all_rows_missing_visibility_equal,equal,2010s,Sage/Investigator,8.129177287743378
all_rows_missing_visibility_equal,equal,2010s,Uncertain,1.9471613999822885
all_rows_missing_visibility_equal,equal,2020s,Caregiver/Guardian,2.8339442426251598
all_rows_missing_visibility_equal,equal,2020s,Creator/Artist,3.7373110341222415
all_rows_missing_visibility_equal,equal,2020s,Everyman/Orphan,10.474320989958143
all_rows_missing_visibility_equal,equal,2020s,Explorer/Seeker,32.30608827130255
all_rows_missing_visibility_equal,equal,2020s,Hero/Warrior,21.95365090197475
all_rows_missing_visibility_equal,equal,2020s,Innocent,1.5336640069581406
all_rows_missing_visibility_equal,equal,2020s,Jester/Trickster,2.4574460273629586
all_rows_missing_visibility_equal,equal,2020s,Lover,3.733554558096598
all_rows_missing_visibility_equal,equal,2020s,Magician/Transformer,4.58124111840673
all_rows_missing_visibility_equal,equal,2020s,Rebel/Outlaw,3.571747983263324
all_rows_missing_visibility_equal,equal,2020s,Ruler/Leader,4.097321602543041
all_rows_missing_visibility_equal,equal,2020s,Sage/Investigator,7.045736528794598
all_rows_missing_visibility_equal,equal,2020s,Uncertain,1.673972734591767
all_rows_missing_visibility_equal,log_cap_p99,1980s,Caregiver/Guardian,3.438024795076359
